catalognumber,imageID,dsize,lndsize,ecoregion,population,pairs,type,agescore,sex,stateprovince,county,year,PCNM1,lat,lon,scientificname,seas,temp
UAM_58901,UAM_58901_dor,3.636048506,1.290897517,Pacific,MainlandP,MainlandP,Mainland,11,female,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58902,UAM_58902_dor,3.619125772,1.286232497,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58903,UAM_58903_dor,3.669961662,1.300181216,Pacific,MainlandP,MainlandP,Mainland,11,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58909,UAM_58909_dor,3.558821012,1.269429314,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58910,UAM_58910_dor,3.383685024,1.218965359,Pacific,MainlandP,MainlandP,Mainland,7,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58912,UAM_58912_dor,3.484702598,1.248382703,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58913,UAM_58913_dor1,3.567295418,1.271807723,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58914,UAM_58914_dor1,3.321684258,1.200471961,Pacific,MainlandP,MainlandP,Mainland,7,female,Yukon Territory,,2001,-0.10256232,62.23533,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58915,UAM_58915_dor,3.53808797,1.26358646,Pacific,MainlandP,MainlandP,Mainland,11,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58925,UAM_58925_dor1,3.481882758,1.24757317,Pacific,MainlandP,MainlandP,Mainland,9,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58926,UAM_58926_dor,3.370207763,1.214974393,Pacific,MainlandP,MainlandP,Mainland,10,female,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58927,UAM_58927_dor,3.432677373,1.233340532,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_58928,UAM_58928_dor,3.403939444,1.224933421,Pacific,MainlandP,MainlandP,Mainland,10,male,Yukon Territory,,2001,-0.102562319,62.23533333,-140.6815,Microtus pennsylvanicus,142.24,-32.9
UAM_59852,UAM_59852_dor,3.498098221,1.252219455,Pacific,MainlandP,MainlandP,Mainland,10,male,British Columbia,,2001,0.047690503,56.35833333,-129.3416667,Microtus pennsylvanicus,79.11,-11.5
UAM_59853,UAM_59853_dor1,3.304895682,1.195404909,Pacific,MainlandP,MainlandP,Mainland,7,male,British Columbia,,2001,0.047690503,56.35833,-129.34167,Microtus pennsylvanicus,79.11,-11.5
UMMZ_115870,UMMZ_115870_dor1,3.591666704,1.278616358,Pacific,MainlandP,MainlandP,Mainland,12,male,Alaska,,1951,0.137877097,61.2986356,-149.5614214,Microtus pennsylvanicus drummondii,87.15,-14.4
UMMZ_123795,UMMZ_123795_dor1,3.537842106,1.263516967,Pacific,MainlandP,MainlandP,Mainland,9,male,Alaska,,1953,-0.039102472,64.8633333,-147.9327778,Microtus pennsylvanicus tananaensis,140.99,-26.6
USNM_170786,USNM_170786_dor4,3.408819705,1.226366104,Pacific,MainlandP,MainlandP,Mainland,12,female,British Columbia,,1910,0.04662613,57.089579,-130.3537679,Microtus pennsylvanicus rubidus,83.38,-14.6
USNM_170788,USNM_170788_dor,3.525024002,1.259887245,Pacific,MainlandP,MainlandP,Mainland,12,female,British Columbia,,1910,0.032116639,56.8360032,-126.3399699,Microtus pennsylvanicus drummondii,93.66,-22.3
